,accuracy,communication,cleanliness,location,checkin,value,avgRating
9920386,3.33,3.33,2,3.67,3.33,2,2.00
9920387,2.75,3,2.25,3,2.25,2.75,2.25
9920388,3.33,2.67,2,3.67,4,3.33,1.33
9920389,3.43,2.71,2.86,2.86,2.43,3,2.57
9920390,4,2.67,3.67,2,3.33,2,2.67
9920391,1.6,2.2,2.6,2,3.6,3.4,4.20
9920392,3.5,3.5,2.17,4,3.33,3.83,3.00
9920393,3.14,1.71,2.71,3,3,2.43,3.29
9920394,2.67,4.33,2.33,2.33,3.67,2,3.00
9920395,2.43,3.43,3.71,2.57,3.14,2.43,1.86
9920396,2.5,2.33,3.33,2.17,3.67,2.83,2.00
9920397,2.71,2.43,2.43,2.71,4.14,3.57,1.57
9920398,2.4,4,3.2,3.4,3.2,3.2,3.40
9920399,3.67,2.67,3.67,3.67,3,3.67,3.00
9920400,2.8,3.2,3,2.8,2,4.2,3.60
9920401,2.25,3.75,3.5,3.25,2.5,3,3.50
9920402,4,3.33,3.67,2.83,2.33,2.5,2.17
9920403,2.83,3.17,3,3.33,2.67,2.5,2.33
9920404,4.5,2.75,2.5,1.75,1.5,4.5,3.25
9920405,1.67,4,3.67,3,1.67,2,3.33
9920406,3.57,2.57,3.14,2.14,3.71,4.57,2.71
9920407,2.5,1.67,3.5,4.5,3.17,3.67,2.17
9920408,3.6,2.8,2.4,2.8,3.4,3.8,3.40
9920409,4,2.67,2.33,2.33,3.67,3.33,3.67
9920410,3,2.14,3,3.14,3.14,3.14,2.43
9920411,4.33,3,2.67,4,3.67,2.67,3.67
9920412,3.29,3.43,2.29,3.71,2.57,3,3.14
9920413,2.33,3.33,2.83,3.5,3.5,3,3.00
9920414,3,3.8,2.6,3.2,3.4,3,4.00
9920415,1.83,3.33,3.5,3.83,2.83,2.17,3.83
9920416,2.57,3,2,3.14,3.14,3.86,2.57
9920417,3.17,3.33,3.33,2.83,4,2.5,4.00
9920418,3.29,2.71,2.86,2,2.71,3.14,2.86
9920419,3.83,3.17,2.33,2.83,4,3.33,3.83
9920420,3,1,2.33,3.67,4.33,2.67,4.00
9920421,2.57,2.29,3.29,3,2.57,2.86,3.29
9920422,2.57,2.14,3,2.57,3.14,2.14,3.00
9920423,3,3.67,3.33,3,2.33,2,3.33
9920424,3.6,2.6,3.8,2.2,2.4,2.4,2.20
9920425,4.17,2.5,3,3.5,3.33,4.33,3.17
9920426,2.2,2.2,3.6,3.4,3,3.2,2.20
9920427,3.33,1.67,3,3.33,1.33,2.33,3.33
9920428,3.33,2.83,2.33,4,2.17,2.5,2.33
9920429,2.25,2.25,3.75,3.25,2,2.75,2.00
9920430,3.5,2.75,4.5,1.5,4.25,2.75,2.75
9920431,3,2.43,3,2.86,3.43,2.71,2.57
9920432,4.33,3.33,2.33,2.67,2,3,1.00
9920433,3,2,3.4,3.6,3.2,2.6,2.80
9920434,2,2,2.67,3,3.33,4.67,2.67
9920435,3,4.75,3.5,3.5,3.25,3.25,3.00
9920436,2.33,3.83,3.5,3.33,2.33,2.5,3.50
9920437,3.14,3.14,3.43,2.71,3,3.29,2.71
9920438,4,3.33,2.33,4,4,2.67,4.00
9920439,2.57,2.71,2.71,2.71,2.14,3.14,2.86
9920440,2.33,2.83,2,3.33,2,2.67,2.67
9920441,2.6,3.6,2.4,2.2,3.8,3.8,3.40
9920442,2.71,3.29,3.71,3.29,2.14,2.86,3.14
9920443,3.71,2.71,2.43,2,2.71,2.57,3.71
9920444,4,3.75,3.25,4,3,2,2.00
9920445,2.71,3,4.43,3.14,3.14,2.71,2.43
9920446,2.6,4.4,3,3.8,3.6,2.2,3.40
9920447,3,3.33,3.67,3.17,3.83,2.67,2.83
9920448,1.6,2.4,2,2.2,4.2,3.4,2.60
9920449,2.83,2.83,2.5,3.17,3.33,3.33,3.50
9920450,3.29,2.29,2.86,2.57,3.71,2.43,3.86
9920451,3.33,4.33,2.67,3,3.33,1.67,2.67
9920452,3.75,3.5,3.75,3.5,3,3.75,3.00
9920453,4.6,2.8,3.4,2.6,2.4,2.4,1.80
9920454,3,2.6,2.4,3,3.6,2.4,4.40
9920455,3.33,3,3,3.67,2.33,3.33,2.33
9920456,3,3.5,1.75,2.25,3.5,2,3.00
9920457,4.75,2.75,3,2,3,3.25,2.25
9920458,4,3.5,2.75,2.75,3.25,3.5,3.00
9920459,3.2,3.6,2.8,4.4,2,2.2,2.60
9920460,2.8,3.4,3,2.6,2.4,2.2,3.80
9920461,2.83,2.5,3.17,2.17,2.33,2.67,3.67
9920462,3,3,3.6,3.6,2.4,3.4,3.80
9920463,2.5,2,3,1.5,3.25,3.25,3.00
9920464,2.83,3.33,2.83,2.5,2,3,3.33
9920465,3.2,3,2.8,3,3,2.2,2.40
9920466,2.6,3.6,3.8,3.8,2.6,2.4,3.20
9920467,3.4,3.2,3.2,3.2,2.4,2.8,2.80
9920468,3,3,2.67,2,3.33,4,3.00
9920469,2.57,2.86,2.71,3,4.57,2.86,2.71
9920470,2.33,3.67,3.33,2.33,4.33,4.33,3.33
9920471,2.86,2.71,3.71,3.29,4,2.71,2.00
9920472,3.33,3.33,4.33,2.67,3,2.67,2.67
9920473,2.67,3.33,3.67,3.33,4.33,3,1.67
9920474,3.4,2.4,3,3.4,3.4,3.2,2.60
9920475,2.75,2.75,2.75,3.25,3.25,3,3.00
9920476,4.67,2.5,2.17,2.83,2.5,3,4.00
9920477,4,4.5,2.5,3.75,3.75,3,2.25
9920478,2.8,3.6,3.4,3,1.6,2.8,2.80
9920479,2.71,3.43,4,3.14,2.71,2.86,2.57
9920480,2.4,2.6,2.8,3,3,2.6,2.80
9920481,2.29,3.29,3.14,2.14,3.57,3.57,3.43
9920482,2,3.14,3.14,2.86,2.43,3.43,2.86
9920483,3.2,3.2,2.8,2.8,3.4,2.6,3.40
9920484,2.17,3.33,3.83,2.33,2.17,2.5,2.50
9920485,2.83,2.33,2.17,3.5,4.17,2.83,2.33
9920486,3.14,3,3.29,3,2.43,2.86,2.57
9920487,3,3.33,2.33,2.67,3.5,3.5,2.83
9920488,2.29,3.57,3.14,2.86,3.14,2.86,2.57
9920489,3.57,3.57,3.57,2.71,2.43,2.71,3.14
9920490,4.25,2.75,3.25,3,3.5,2.25,3.25
9920491,2.67,3,3.67,2,3,4,3.00
9920492,3,2.6,2.8,2.8,3.4,3.8,4.60
9920493,3.4,3,3.8,3.4,3.2,2.8,3.00
9920494,2.2,2.4,2.6,3.2,4.6,3.2,2.20
9920495,2.8,2.6,2.8,3,3.8,2.8,1.80
9920496,3.17,3.5,2.5,3.33,2.33,4.17,2.83
9920497,1.25,2,3,2,2.25,2.75,1.75
9920498,3.29,2.57,3.57,2.71,3,2.71,3.43
9920499,2.57,2.43,4,2.57,3.86,3,3.29
9920500,3.25,2,4,2.25,4.25,3.5,4.25
9920501,4.33,2.67,2.33,2,3.33,4,1.33
9920502,2.57,3,2.29,3.14,2.86,2,3.43
9920503,3.25,3.5,1.25,3.75,3,4.5,4.25
9920504,3.83,3.17,2.17,3,3,2.33,3.33
9920505,3.5,3,2,2.5,3.25,3.25,2.75
9920506,2.43,3,3.14,2.71,1.71,2.86,2.86
9920507,2.75,4.25,4,3.25,2.75,3.5,3.75
9920508,2.8,4.2,2.8,3,3.6,3.6,3.00
9920509,2,2,2.5,3.17,3.5,2.67,4.83
9920510,2,2.75,4,2.75,4,3,3.50
9920511,2.71,3,2.29,3.86,3.14,3.57,3.14
9920512,2.8,2.6,2.8,3,2.6,2.4,2.80
9920513,2.71,3.57,3,2.71,3.14,3.29,3.43
9920514,3.4,4.4,2.6,1.6,3.6,2.6,3.00
9920515,3,2.86,2.29,3,3.43,3.29,2.57
9920516,3,2.4,2.4,3.6,3.6,2.2,3.20
9920517,2.75,2.5,1.5,2.25,3.75,2.75,2.25
9920518,3,2.6,2.4,3.4,3.2,2.6,2.80
9920519,3.6,3.2,3,3,3.4,3.6,3.00
9920520,2.5,2.67,3.17,1.67,2,4,2.50
9920521,4.33,2.67,2,3.33,2.33,3.33,2.33
9920522,1.4,2.4,3,3.8,1.6,2.8,1.40
9920523,2.4,4.6,3.2,2,2.6,1.4,3.20
9920524,2,3,2.33,4,3,4,3.33
9920525,1.67,3.33,2.33,1.67,3.33,3,2.67
9920526,3.33,2.33,3.5,2.17,2.83,3.67,3.17
9920527,3.75,1.75,3.25,2,2.5,2,4.00
9920528,2.6,1.8,3.6,3.4,4.2,3,3.80
9920529,2.86,4.14,3.71,3.43,3.86,2.43,2.86
9920530,3.33,3.33,2.33,3,3.67,4.67,2.67
9920531,2.17,2.83,3.17,2.17,3,3.17,3.17
9920532,2.5,2.33,3.17,2.33,3.83,2.5,2.17
9920533,3,3,3.5,3.17,3.33,2.83,3.83
9920534,3.83,2.33,2.17,3.17,3.5,2.67,2.50
9920535,3.57,3.71,2.43,2.14,3.29,2.86,3.14
9920536,3,3,3.67,4.17,2,2.17,3.83
9920537,3,3.5,2.5,3.25,2.5,2.5,3.00
9920538,3.17,3,2.83,2.5,3.33,2.83,2.00
9920539,3.29,3.57,3,2.71,2.29,3.71,3.00
9920540,3.2,2.6,2.2,3,3.4,3.8,2.40
9920541,2.8,4,3.8,3.2,2,3,3.00
9920542,2.75,1.75,3.25,2.25,3.5,2,3.25
9920543,3.2,2.8,2.2,2.8,3.8,2.4,3.60
9920544,3.5,2.75,3,4.25,4,4.25,3.75
9920545,3.2,2.6,2.2,4.2,2.4,4,1.60
9920546,2.71,3.14,2.71,3.86,3.14,2.57,2.71
9920547,2,3,3.83,3,3.17,1.5,2.50
9920548,2.43,3,2.86,4,1.43,3.14,3.14
9920549,2,3,2.33,4,1.67,1.67,3.00
9920550,4,2.33,3,3,3.33,2.5,3.17
9920551,3.6,2.2,3.2,2.8,3.6,2.6,2.80
9920552,4.5,2.5,3,2.75,2.5,2.75,2.50
9920553,2.5,2.67,2.5,3.17,2.5,4,3.67
9920554,3.33,3,3,2.5,3.67,3.17,2.67
9920555,3.17,4.17,3.17,3.83,3.17,1.67,3.17
9920556,4.25,2.75,3.25,2.75,3,2,3.00
9920557,3,3.14,3.86,2.71,3.43,1.71,3.43
9920558,2.33,2.67,2.67,2.67,4.33,1,3.00
9920559,1,2.33,3,3.33,3,3,3.67
9920560,3.4,1.8,3.8,2.6,2.2,2.2,3.00
9920561,3.14,3.43,3.57,2.71,2.57,2,2.43
9920562,4.33,3,3,1.33,3.33,3.33,1.00
9920563,3.33,3,2.67,4.33,3.67,2.33,1.67
9920564,2.6,2.4,3.8,2.2,3.4,3.6,2.60
9920565,3.25,2.75,2.75,2.75,4.25,3.25,2.50
9920566,3.5,2.25,3.25,2.75,3.25,2.25,2.75
9920567,2,3.29,2.86,3.43,2.71,3,2.86
9920568,3.5,3.25,2.5,3.5,3.25,3,2.50
9920569,2.6,2,3,2.8,2.2,3.6,1.60
9920570,2.5,2.75,4,2.25,2.5,2.5,3.00
9920571,3.75,2.75,3.25,3.25,3.25,2.75,2.25
9920572,2.67,2.67,1.67,3.33,2.67,2.67,2.00
9920573,4.5,2.75,3.5,3.25,1.75,3,3.75
9920574,3.43,3.57,3,2.43,2,3.14,3.71
9920575,3.29,2.71,2.29,3.57,3.57,2.57,2.14
9920576,3.5,3.33,3.17,3.33,2.83,3,3.17
9920577,3.33,3.5,2.33,2.5,3,2.5,2.50
9920578,2.67,2.83,2.67,3.67,2.83,2.67,3.83
9920579,3.17,2.83,3,3.17,2.67,2.33,3.67
9920580,3.14,1.57,2.86,3,3,3.29,3.43
9920581,3.43,2.29,2.43,2.86,2.43,3.43,2.71
9920582,2.75,3.25,3,2,3.25,3.25,4.00
9920583,2.71,3.86,3,2.71,3.86,3.57,2.43
9920584,2.67,3.33,3,3.67,3,2.83,2.00
9920585,2.67,2.67,3.67,3.33,3.67,4.67,3.67
9920586,2.33,3,3,2.33,3,2.33,3.33
9920587,2.75,3,3.25,1.5,3.75,2.75,2.75
9920588,3.5,3.5,2.17,4,2.83,2.83,3.33
9920589,2.5,3,2,1.5,3.25,2.25,2.00
9920590,3.29,3.86,2.71,3.57,3,3.29,2.00
9920591,2.25,3.25,3,2.75,2.5,3.25,2.50
9920592,2,2.67,2.67,3.33,2.33,2,3.00
9920593,2.43,3.71,3.14,2,3,2.86,2.57
9920594,2.6,3.4,2.8,3.8,4,4,3.40
9920595,4.33,2.67,3.67,3,2,1.67,3.00
9920596,2.75,2.75,2.5,2.5,3.25,2.75,3.50
9920597,3.17,3,3,3.67,2.67,3.83,3.33
9920598,3.33,4.33,3.33,1.33,2.33,2,2.33
9920599,3,2.86,3.86,2.86,3.71,2.43,3.86
9920600,2.5,3.17,3.17,3.17,2.67,3.17,3.33
9920601,4,3.33,3.33,1.67,2.67,4,4.33
9920602,3.75,3,2,2.75,3,2.75,3.75
9920603,2,3,3.33,4.33,3.67,4,1.67
9920604,3,3,3.29,2.86,2.71,2.29,3.00
9920605,3.14,3,3.14,3,2.57,3.57,2.86
9920606,2.25,3.5,2.75,3,2.25,3.5,2.25
9920607,2.33,3.33,2.33,3,4,2.67,2.67
9920608,3,3.2,3.2,3.6,3.2,3.2,2.40
9920609,3.17,3.33,3.5,2.17,3.17,2.67,2.17
9920610,2.67,2.67,3,3.67,2.67,2.67,3.67
9920611,2.71,2.57,2.57,3.14,2.43,3.14,4.29
9920612,2.83,3.5,2.83,2.17,2.67,2.83,2.17
9920613,3.8,2.6,3,3.2,3.6,3.2,4.40
9920614,4.5,2,2.83,2.83,3,2.33,3.33
9920615,3,2.57,3,2.86,4,2.71,3.43
9920616,3,2.6,2.2,3,2.2,4,2.60
9920617,2,2.8,3.4,2.8,2.6,3.6,2.80
9920618,3.67,3.33,3.67,2.67,3.33,2,3.00
9920619,3.43,3.86,3,2.29,4,2.14,1.71
9920620,3.33,3,3.33,4,2.33,1.67,5.00
9920621,2.8,2.4,2.8,1.8,3,4.2,3.40
9920622,2.33,3.17,2.5,3.5,3.17,2.17,3.33
9920623,3,3.17,2.5,2.83,2.83,3.33,3.17
9920624,2.71,2.86,3,3.71,3,2.57,3.14
9920625,3.33,3.67,1,4,2.33,3,1.33
9920626,3,2.33,2.83,3.33,3.33,3,3.00
9920627,2.71,2.14,2.86,2.43,3.29,3.71,2.29
9920628,2,3.67,4,3.83,3.33,3.5,2.50
9920629,2.6,2.8,2.2,3.4,3.4,3.8,3.00
9920630,3.29,3.43,2,2.71,2.86,3,3.71
9920631,2,3.5,1.83,2.83,2.5,4.17,2.33
9920632,2,2,2.2,4,3,3,2.60
9920633,3.29,2.57,3.29,2.71,2.57,3,2.57
9920634,2.4,3.8,3,2.2,3.8,2,2.80
9920635,2.25,3.5,3,3.25,3.5,3.5,2.75
9920636,3,2.6,3,3.2,2.6,2.6,2.40
9920637,3.5,4,3.67,2.5,3,3.33,2.83
9920638,3.5,3.83,2.83,4,4.33,1.83,2.00
9920639,2.67,2.67,2.33,2.33,2.33,3.67,3.67
9920640,3.75,3.75,3.25,3.75,1.5,1.25,2.50
9920641,2.4,3.8,3.6,3.4,3.2,3,3.40
9920642,2,2.33,2.33,4.67,2,2.33,3.33
9920643,3.83,3.17,3.33,2.67,3.33,3.67,1.83
9920644,3.17,2.67,2.33,2.5,2.67,3.17,2.67
9920645,4.43,3.14,2.29,2.86,3.14,2.57,2.43
9920646,2.43,2.71,3.14,3.57,2.57,3,3.71
9920647,4,2.14,2.57,2.86,3.29,3.14,2.57
9920648,1.86,3.14,3.43,3,3.43,3.43,2.57
9920649,3.57,4,2.71,3.14,3.14,2.43,3.14
9920650,2.86,1.86,3.86,3.86,3,3.43,3.14
9920651,2.8,2,2.8,3,3,4.2,3.60
9920652,3,5,2.67,2.33,3.33,2.67,2.33
9920653,2.86,2.43,3.71,2.29,3.57,3.14,3.00
9920654,4,4.33,2.33,3.33,3.67,4.67,2.33
9920655,2,4,3.33,4,3,2.67,3.00
9920656,4,4,3,2.33,4,3.33,2.00
9920657,4,2.67,3.33,2.67,4.33,2.33,3.33
9920658,3,2.71,3,3.86,2.57,3.57,3.43
9920659,2.2,2,2.6,2.6,3.6,3.2,3.80
9920660,3.4,3,3.8,3.2,4.4,2.8,3.20
9920661,1.5,3.25,3.5,3,2.25,2.75,3.25
9920662,3.33,3.67,3.5,2.83,2.67,1.83,3.17
9920663,2.4,2.8,2.2,2.8,2.8,3,2.40
9920664,3.17,3,2.17,3.83,3.5,3.5,3.17
9920665,3.2,3.6,3,3.6,1.4,2.2,2.40
9920666,3.17,3.5,3.33,2.67,3.33,2.67,3.33
9920667,2.25,3,4.25,2.75,2.5,3.75,2.50
9920668,3.4,2.4,2.8,2.8,4,3.4,2.80
9920669,3.86,3.43,3,3.57,3.71,3.29,3.00
9920670,4,2,3.4,3.8,2,2.4,3.20
9920671,3.71,2.43,4.14,2.29,3.14,3,2.71
9920672,3,2.86,3,1.86,2.71,3.14,3.00
9920673,1.83,3.5,3.33,2.17,3,3.17,2.33
9920674,2.4,3.4,2.4,3.4,3,3.6,2.60
9920675,3.6,2.6,2,2.8,3.2,3.4,3.40
9920676,2.67,4.67,2.33,3.33,4.33,2,3.33
9920677,2.83,3.5,2,4,2.5,2.83,3.00
9920678,2,2.75,3.25,2.75,2.25,3.25,2.50
9920679,3.6,3.8,3.2,2.6,4.4,3.6,3.60
9920680,3.25,2.75,3.75,2.75,2.5,3.5,2.25
9920681,2.83,4,3.17,2,3,2.67,3.50
9920682,2.6,4.2,3.6,4,3.2,3.2,3.00
9920683,4,3.4,2.6,2.8,1.6,2.6,3.60
9920684,2,2.67,4,3.33,2.67,2,2.00
9920685,2.5,3.67,3.67,2.5,3.5,3.5,2.67
9920686,3.75,3,3.75,3.5,4,3.75,2.50
9920687,2,2,2.5,3.75,2.75,3.75,2.75
9920688,2.5,2.5,2,2.25,2.25,2.5,3.00
9920689,3,2.83,3.33,3.17,3,2.67,3.83
9920690,3.4,2.8,3,3.2,3.4,3,2.40
9920691,2.6,2.8,2.4,3.4,3.2,2.6,3.40
9920692,2.4,3.6,2.6,3.8,3,2.4,3.80
9920693,3.75,2.5,2.25,3.25,3.25,2.25,3.00
9920694,4.33,3.67,1.33,4.67,3,1.67,2.67
9920695,2.83,2,3.33,4.17,3.83,3.5,4.00
9920696,2.33,2.83,3.33,2.67,3.5,3.17,3.17
9920697,2.17,2.5,4.17,4,3,3.33,2.83
9920698,3.33,3,4.67,2.67,2,2.67,4.67
9920699,3,3.25,3.5,3.5,3,3.75,2.25
9920700,3.29,3.86,3.14,2.57,2.71,3.57,3.57
9920701,4,4.5,2.75,2.75,3.25,4,2.50
9920702,2.8,3.2,3.4,4,2.6,3.2,3.80
9920703,3.8,2.8,3.2,2.8,3.6,3,4.60
9920704,4.33,3,4.67,3.33,2.67,3,2.00
9920705,1.6,3,2,2.6,3.6,3,1.80
9920706,3.4,3.2,3,3.2,3.6,2.8,2.60
9920707,3.67,3.67,2.67,3,3.67,2.67,2.00
9920708,3.29,4.14,2.57,2.71,2.43,2.71,2.43
9920709,3.57,2.57,3,2.57,2.43,2.71,3.29
9920710,3.33,2.33,2,3,2.67,2.67,4.00
9920711,3,4.67,4.33,3.67,3,4.33,3.67
9920712,3.25,3.25,4,2.75,2.25,2,2.25
9920713,2.67,3,3,3.5,3.67,2.83,3.50
9920714,3.2,2.6,3.8,2.8,3.2,3,4.20
9920715,4,2.33,2.67,4.33,2.67,2,2.00
9920716,4,2,2.67,2.33,1.67,2.67,3.00
9920717,2.33,1.67,2.67,2,3.67,2.33,3.33
9920718,2.5,3.5,3.5,3.67,4,3.5,3.67
9920719,3.25,3,2.75,3.75,1.75,3,4.75
9920720,3,3,3.75,3.25,3.5,2.75,3.75
9920721,3.43,2.29,2.86,3.43,2.71,2.71,2.57
9920722,3.14,2.29,3,2.86,4.29,4.14,4.14
9920723,2.67,4.33,4,3,2.33,3,2.00
9920724,2.33,2.67,2,2.33,1.67,3.33,4.00
9920725,2.67,3.67,3,2.33,3.5,3,2.50
9920726,3.8,3.6,2.6,2.6,4.4,2.8,4.00
9920727,3,3.14,2.57,3.57,2.86,2.86,3.14
9920728,2.71,3.57,2.71,2.57,3.14,2.71,3.57
9920729,1.83,2.67,2.67,2.67,2.67,3.83,3.33
9920730,3.67,2.17,2.83,3.17,3.33,3.67,2.50
9920731,3,3.33,3.17,3,3,2.83,2.83
9920732,3.33,2.33,3,5,2,1.67,2.33
9920733,3,1.5,2.25,2.25,2.5,4,3.25
9920734,3,2.67,2.83,3.17,3.17,2.67,2.50
9920735,3.5,2.5,3.67,3.5,2.67,3,4.00
9920736,2.6,2.6,2.8,3.6,2.6,2.2,2.80
9920737,3.2,2.8,4,3.4,2.4,2.4,2.00
9920738,4,3,2.67,3,2.67,2.67,3.33
9920739,3.5,2.75,3.5,3.25,2.25,3,2.50
9920740,3.67,3.17,3.33,3.33,1.5,3,4.50
9920741,2.8,3.6,2.4,2.2,2.8,2.4,2.40
9920742,3.33,2.67,2.67,2.33,2.67,3.33,4.33
9920743,1.33,4,2.33,2,3.67,2.67,3.00
9920744,2.5,2.25,4,3,1.5,4.5,2.25
9920745,2.75,2.5,3.75,2.5,3,3.25,2.75
9920746,2.29,3.14,3.29,2.29,2.86,3.43,2.86
9920747,3.29,2.29,2.29,3.43,2.71,3,3.14
9920748,3.83,3.83,3.33,3.5,3,4,1.67
9920749,3.14,4.43,3.57,2.29,3.86,3.57,2.29
9920750,3.14,3.14,2.57,2.86,2.29,2.57,3.71
9920751,3.2,2.4,3.2,3.4,3.6,4,3.00
9920752,3.4,3,3.6,3.2,2.8,3.6,2.00
9920753,4.33,3.67,3.33,3.67,2,4.67,1.33
9920754,2.75,2.75,3.75,2.25,3.5,2.5,4.00
9920755,2.86,4,3.14,3.86,3.86,3.14,2.71
9920756,3,2,2.67,4.33,3.33,2,2.33
9920757,2.33,2.83,4,2.5,2.5,4.17,3.00
9920758,3,3.25,3.75,2.75,3.25,3,2.75
9920759,3,3.67,3,3.33,4.33,2.33,3.33
9920760,3,3.2,2.6,3.2,3.4,2.4,3.20
9920761,3,3.29,2.57,2,2.43,3.29,2.57
9920762,3.2,3,3.4,2.4,3.2,4,2.80
9920763,3.25,3,4,2.5,4.25,4,3.00
9920764,2.67,3.67,3.33,2,3,4,2.00
9920765,2.17,4.17,2.67,2.83,1.67,2.83,1.83
9920766,3.5,3,2.25,2.25,2.75,2.25,2.00
9920767,2.33,3.67,3.67,4,1.67,3.33,3.33
9920768,2.57,3.29,3.71,2.71,3.71,3,3.00
9920769,4,3,3.67,3.67,3,2.67,3.33
9920770,3,3.5,3.5,3,4,3.75,3.50
9920771,3.75,3.75,1.75,2.75,3.25,4.5,3.50
9920772,2.67,2.33,1.67,3.67,3.33,2.33,2.67
9920773,4.67,2.67,3.67,2.67,3,3.33,3.00
9920774,4.57,3.14,2.86,2.29,2.71,3.43,2.57
9920775,3.25,3,2,2.75,3.5,3.5,2.75
9920776,3.33,3.33,3,2.33,1.67,2,2.67
9920777,3.14,2.29,3.14,3.14,2.71,2.71,2.57
9920778,2.33,2.83,3,2.83,2.67,3.17,3.33
9920779,3,2.25,2.5,1.5,3,2.5,3.25
9920780,3.75,3.25,4.25,3,2.25,3,2.25
9920781,3,2.6,4,3.2,3.6,3,2.60
9920782,3.17,2.83,2.17,2.5,4.17,2.33,3.17
9920783,2.2,2.8,2.2,2.6,2,3.8,2.60
9920784,2.67,1.67,3,3.33,3.33,4,3.67
9920785,2.33,2.67,1.83,3.67,2.33,3.17,3.33
9920786,3.4,3.6,1.8,2.6,2.6,2,2.40
9920787,3.17,3.17,3.17,3.17,2.17,4.33,3.50
9920788,3.43,3.57,3,2.29,2.57,4,2.29
9920789,3,3.57,3.43,3.29,3.29,3,2.86
9920790,3,3.4,2.6,3.6,2.8,4.4,2.40
9920791,4,1.33,3.67,3.33,4,2.33,1.67
9920792,1.75,1.75,3.25,1.5,3.75,3.75,1.75
9920793,2.4,3.4,2.6,3.4,2.2,3.4,2.80
9920794,2.71,3.43,2.71,2.71,2.57,3.29,3.43
9920795,3,4.17,2.83,3,3.33,2.67,2.67
9920796,3,1.67,2.67,2.33,4,2.67,3.00
9920797,4,3.8,3.4,2.6,3,3.8,3.20
9920798,3.25,3.5,2.75,3.25,3,3.75,4.00
9920799,2.75,3.75,2.25,3.25,4,2,2.25
9920800,3,2.67,2.5,2.5,2.67,4,2.50
9920801,3,3.4,2.2,4,3.4,3.8,3.60
9920802,2.25,3.5,3.75,3.25,2.25,2.5,1.75
9920803,2.86,1.86,3.14,2.29,3.57,2.57,2.57
9920804,3.17,4,4.5,2.5,3.17,3,2.33
9920805,2.5,2.67,2.67,2.83,3,3.83,3.83
9920806,3,3,3,2.29,3.86,3.71,2.43
9920807,4.17,3.5,3.17,3.83,4.17,2,4.17
9920808,4.17,3,3.33,2.83,3.33,2.83,3.00
9920809,3.4,2.2,2,2.2,3,2.4,2.60
9920810,3,3.57,3.43,3.71,2.71,2.57,3.29
9920811,2.5,4.25,2.25,3.25,2.75,3,4.25
9920812,3.14,3.29,2.57,1.86,3.57,2.86,3.14
9920813,3.25,3,3.5,2.5,3,4,2.75
9920814,2.25,2.5,4,2,3.25,3.25,4.25
9920815,2.29,3.29,4.14,2.86,2.86,2,3.14
9920816,2.6,2.2,3,3,2.2,3,4.00
9920817,3.25,2.5,3,2.5,3,3,2.75
9920818,3.33,4,3,2.67,3.33,3.33,3.33
9920819,4,3.4,3.6,3,3.4,2.4,4.00
9920820,3,3,3,3.67,3.33,3.33,3.67
9920821,3.33,2.5,4.17,3.5,3.17,2.67,4.33
9920822,4.29,2.14,2.57,3.14,3.29,2.86,4.29
9920823,3,3.4,3.6,3.6,3,2.6,3.00
9920824,3.75,4,3.75,3.25,2.25,3.75,3.50
9920825,3.5,3.83,2.83,2.67,3.17,2.33,2.00
9920826,1.8,3.2,4.2,3.6,3.8,2.2,3.20
9920827,3.4,4.4,4,3.6,3,3,3.40
9920828,3.75,3,2,2.5,3.75,2.5,2.75
9920829,3.57,2.71,3,3.29,2.43,1.86,3.14
9920830,1.5,2.5,3.25,3.5,4.25,2,3.00
9920831,3,3.33,2.67,3.67,4.67,4.33,1.33
9920832,2.67,2.33,3.67,3.67,2.67,3.33,4.33
9920833,3.8,2.8,3.6,2.2,3.2,2.6,1.20
9920834,3,3.14,3.43,2.57,3.57,2,3.57
9920835,1.67,2.17,3.67,3.33,2.67,3.67,3.17
9920836,3,3,2.17,2.83,2.5,3.5,2.33
9920837,3,2.29,3,3.86,3,3.29,2.71
9920838,3.4,2.6,2.4,3.2,2.2,2.2,2.60
9920839,3,2.25,3.25,4,2,2,2.75
9920840,3,3.25,3,3.5,2.25,3,3.00
9920841,2.75,2.75,4.25,2.25,3.75,2.5,3.00
9920842,4,2.17,2.33,2.17,2.17,2.83,2.33
9920843,4,2.2,3,3.2,2,2,2.60
9920844,4,2.86,4.14,2.86,3.86,3.43,4.29
9920845,2.57,2.86,3.29,3,2.29,3.29,2.71
9920846,3.4,2.8,1.6,3.4,2,3.4,4.00
9920847,3,3.5,3.5,2.25,2.25,2.5,3.75
9920848,3.5,3.33,2.33,3.17,3.17,3,3.17
9920849,2.5,3.75,2.5,2.25,4.25,3.25,2.50
9920850,3.17,3.83,2.83,4,3.5,2.5,2.67
9920851,2.25,3.25,3,3.75,1.75,2.25,1.50
9920852,2.67,3,2.33,3.67,3,3,2.00
9920853,4.43,3,3.57,3.57,4,3.14,3.43
9920854,2,2.5,2.75,3.75,3.25,3,3.25
9920855,3.5,2.83,3.17,3.17,3.83,2.5,3.50
9920856,2.33,3.67,2.33,2.67,3.33,3.67,3.33
9920857,2.6,3.4,4.6,2.8,2.2,3,3.20
9920858,2.33,3.33,2.17,2.67,3.5,3.5,3.17
9920859,3.2,3.2,3.8,1.4,2.4,2.8,2.00
